system,eos,step,pvi,component,mass_rate_kg_s,total_mass_fraction,hydrocarbon_normalized_mass_fraction,reservoir_watercut
binary,PR,20,0.05,H2O,5.026908762084414e-07,0.10285390044748825,0.0,0.004369637264690187
binary,PR,20,0.05,Heavy_squalane,4.384735599806328e-06,0.8971460995525118,1.0,0.004369637264690187
binary,PR,21,0.0525,H2O,5.026908422618674e-07,0.102853887485484,0.0,0.0043696463595948335
binary,PR,21,0.0525,Heavy_squalane,4.384735919636785e-06,0.8971461125145159,1.0,0.0043696463595948335
binary,PR,22,0.055,H2O,5.026908084495345e-07,0.10285387452018202,0.0,0.004369655587483066
binary,PR,22,0.055,Heavy_squalane,4.384736240794939e-06,0.897146125479818,1.0,0.004369655587483066
binary,PR,23,0.0575,H2O,5.026907748944625e-07,0.1028538615444129,0.0,0.00436966493911823
binary,PR,23,0.0575,Heavy_squalane,4.384736564694511e-06,0.8971461384555871,1.0,0.00436966493911823
binary,PR,24,0.06,H2O,5.026907411623964e-07,0.10285384855212419,0.0,0.004369674406653361
binary,PR,24,0.06,Heavy_squalane,4.384736887835299e-06,0.8971461514478759,1.0,0.004369674406653361
binary,PR,25,0.0625,H2O,5.02690707802944e-07,0.10285383553819265,0.0,0.004369683983368653
binary,PR,25,0.0625,Heavy_squalane,4.384737215254725e-06,0.8971461644618074,1.0,0.004369683983368653
binary,PR,26,0.065,H2O,5.026906742468501e-07,0.10285382249825648,0.0,0.004369693663497667
binary,PR,26,0.065,Heavy_squalane,4.384737542194706e-06,0.8971461775017435,1.0,0.004369693663497667
binary,PR,27,0.0675,H2O,5.026906407676517e-07,0.10285380942859716,0.0,0.00436970344205689
binary,PR,27,0.0675,Heavy_squalane,4.384737871217876e-06,0.8971461905714028,1.0,0.00436970344205689
binary,PR,28,0.07,H2O,5.026906072200531e-07,0.10285379632603163,0.0,0.004369713314729602
binary,PR,28,0.07,Heavy_squalane,4.384738201208143e-06,0.8971462036739684,1.0,0.004369713314729602
binary,PR,29,0.0725,H2O,5.026905736003051e-07,0.10285378318783325,0.0,0.004369723277756786
binary,PR,29,0.0725,Heavy_squalane,4.384738532262369e-06,0.8971462168121668,1.0,0.004369723277756786
binary,PR,30,0.075,H2O,5.026905401859569e-07,0.1028537700116594,0.0,0.004369733327862847
binary,PR,30,0.075,Heavy_squalane,4.384738866912805e-06,0.8971462299883406,1.0,0.004369733327862847
