system,eos,pvi,mu_o_min_mPa_s,mu_o_avg_mPa_s,mu_o_max_mPa_s,mu_w_min_mPa_s,mu_w_avg_mPa_s,mu_w_max_mPa_s
binary,CPA,0.565,3.56361429549007,3.563780887478636,3.563900217507454,0.09361034132626668,0.09361583427762571,0.0936182422561807
binary,CPA,0.5675,3.5636162344268443,3.563782357068779,3.563901400965669,0.09361039491054474,0.09361587226266702,0.09361827495559231
binary,CPA,0.57,3.563618164969513,3.563783821870781,3.56390258177071,0.09361044826276778,0.09361591013838887,0.09361830758167339
binary,CPA,0.5725,3.563620087200015,3.5637852819221347,3.563903759934491,0.09361050138520811,0.09361594790550805,0.09361834013474454
binary,CPA,0.575,3.563622001199078,3.563786737259927,3.563904935468829,0.09361055428009375,0.09361598556473467,0.09361837261513954
binary,CPA,0.5775,3.563623907046334,3.563788187920772,3.563906108385438,0.09361060694962556,0.09361602311677264,0.09361840502317782
binary,CPA,0.58,3.5636258048201257,3.563789633940845,3.563907278696174,0.09361065939597339,0.09361606056231868,0.09361843735918794
binary,CPA,0.5825,3.563627694597765,3.563791075355888,3.563908446412683,0.09361071162127435,0.09361609790206413,0.0936184696234936
binary,CPA,0.585,3.5636295764553862,3.563792512201237,3.563909611546711,0.09361076362762835,0.09361613513669316,0.09361850181642041
binary,CPA,0.5875,3.563631450468029,3.5637939445118,3.56391077410984,0.09361081541711486,0.09361617226688448,0.09361853393828452
binary,CPA,0.59,3.5636333167097303,3.5637953723220157,3.5639119341137473,0.0936108669917786,0.0936162092933105,0.09361856598941065
binary,CPA,0.5925,3.563635175253327,3.563796795666005,3.563913091569964,0.09361091835363276,0.093616246216637,0.09361859797011701
binary,CPA,0.595,3.56363702617078,3.563798214577446,3.563914246490015,0.0936109695046709,0.09361628303752421,0.09361862988072281
binary,CPA,0.5975,3.563638869532973,3.563799629089627,3.5639153988854297,0.0936110204468493,0.09361631975662642,0.09361866172154668
binary,CPA,0.6,3.563640705409789,3.563801039235428,3.563916548767602,0.09361107118209862,0.0936163563745917,0.09361869349290383
binary,CPA,0.6025,3.563642533870113,3.563802445047377,3.563917696147911,0.09361112171232483,0.09361639289206249,0.09361872519511344
binary,CPA,0.605,3.5636443549819017,3.563803846557626,3.56391884103778,0.09361117203941022,0.09361642930967554,0.09361875682848193
binary,CPA,0.6075,3.563646168812177,3.563805243797946,3.563919983448501,0.0936112221652032,0.09361646562806115,0.09361878839332537
binary,CPA,0.61,3.563647975427018,3.563806636799738,3.56392112339134,0.09361127209152974,0.09361650184784492,0.09361881988995925
binary,CPA,0.6125,3.563649774891603,3.563808025594055,3.563922260877473,0.09361132182019608,0.09361653796964649,0.09361885131868666
binary,CPA,0.615,3.563651567270255,3.563809410211614,3.56392339591812,0.0936113713529796,0.09361657399407984,0.09361888267982248
binary,CPA,0.6175,3.5636533526263148,3.5638107906827514,3.563924528524397,0.0936114206916311,0.0936166099217531,0.09361891397367088
binary,CPA,0.62,3.563655131022421,3.563812167037487,3.563925658707394,0.09361146983787905,0.09361664575326901,0.0936189452005397
binary,CPA,0.6225,3.56365690252029,3.5638135393054937,3.563926786478083,0.09361151879343231,0.09361668148922671,0.09361897636073183
binary,CPA,0.625,3.5636586671807158,3.5638149075161043,3.563927911847513,0.09361156755997395,0.09361671713021685,0.09361900745455541
binary,CPA,0.6275,3.5636604250638877,3.563816271698339,3.5639290348265447,0.09361161613916398,0.09361675267682687,0.09361903848230482
binary,CPA,0.63,3.563662176229024,3.563817631880913,3.563930155426122,0.093611664532645,0.09361678812963883,0.09361906944428777
binary,CPA,0.6325,3.5636639207346628,3.563818988092183,3.5639312736570408,0.09361171274202698,0.0936168234892293,0.0936191003408002
binary,CPA,0.635,3.563665658638446,3.56382034036021,3.563932389530091,0.0936117607689122,0.09361685875616994,0.09361913117214138
binary,CPA,0.6375,3.563667389997418,3.56382168871276,3.563933503055985,0.09361180861487245,0.09361689393102675,0.09361916193860573
binary,CPA,0.64,3.5636691148677624,3.563823033177298,3.563934614245395,0.0936118562814611,0.09361692901436114,0.09361919264049229
binary,CPA,0.6425,3.5636708333050087,3.563824373780959,3.563935723109009,0.09361190377021675,0.09361696400672988,0.09361922327809206
binary,CPA,0.645,3.563672545363879,3.563825710550624,3.563936829657337,0.09361195108264961,0.0936169989086844,0.09361925385169739
binary,CPA,0.6475,3.563674251098532,3.56382704351287,3.5639379339008967,0.09361199822025679,0.0936170337207712,0.09361928436160138
binary,CPA,0.65,3.563675950562257,3.563828372693955,3.5639390358501752,0.09361204518451194,0.09361706844353195,0.09361931480809091
binary,CPA,0.6525,3.563677643807783,3.563829698119922,3.563940135515572,0.0936120919768739,0.09361710307750457,0.09361934519145317
binary,CPA,0.655,3.563679330887153,3.5638310198164778,3.563941232907532,0.09361213859878112,0.09361713762322096,0.09361937551197622
binary,CPA,0.6575,3.563681011851691,3.563832337809068,3.563942328036254,0.09361218505165333,0.093617172081209,0.09361940576994664
binary,CPA,0.66,3.5636826867521543,3.5638336521229173,3.563943420912083,0.09361223133688953,0.09361720645199162,0.09361943596564526
binary,CPA,0.6625,3.563684355638567,3.563834962782897,3.563944511545174,0.09361227745587684,0.09361724073608749,0.09361946609935753
binary,CPA,0.665,3.563686018560452,3.5638362698137023,3.563945599945679,0.09361232340998583,0.09361727493401083,0.09361949617135706
binary,CPA,0.6675,3.5636876755665967,3.5638375732397036,3.5639466861237277,0.09361236920055964,0.09361730904627162,0.09361952618193382
binary,CPA,0.67,3.563689326705282,3.563838873085074,3.563947770089356,0.0936124148289391,0.09361734307337385,0.09361955613135554
binary,CPA,0.6725,3.56369097202408,3.563840169373704,3.5639488518525657,0.09361246029643439,0.09361737701581944,0.09361958601990411
binary,CPA,0.675,3.5636926115700938,3.563841462129218,3.563949931423305,0.09361250560435094,0.09361741087410468,0.09361961584785533
binary,CPA,0.6775,3.563694245389804,3.563842751375049,3.5639510088113964,0.0936125507539725,0.0936174446487219,0.09361964561547884
binary,CPA,0.68,3.563695873529074,3.563844037134329,3.56395208402674,0.09361259574656913,0.09361747834015854,0.09361967532304581
binary,CPA,0.6825,3.563697496033284,3.563845319430016,3.563953157079124,0.09361264058338939,0.09361751194889915,0.09361970497083041
binary,CPA,0.685,3.56369911294725,3.563846598284786,3.5639542279782472,0.09361268526568034,0.09361754547542281,0.09361973455909905
binary,CPA,0.6875,3.563700724315218,3.563847873721091,3.563955296733821,0.09361272979465701,0.09361757892020534,0.0936197640881213
binary,CPA,0.69,3.563702330180918,3.563849145761191,3.563956363355421,0.09361277417153427,0.09361761228371838,0.09361979355816043
binary,CPA,0.6925,3.5637039305875513,3.563850414427079,3.563957427852666,0.09361281839750626,0.09361764556642921,0.09361982296948432
binary,CPA,0.695,3.563705525577842,3.563851679740527,3.563958490235049,0.09361286247375325,0.09361767876880137,0.09361985232235283
binary,CPA,0.6975,3.5637071151939317,3.563852941723139,3.563959550512039,0.09361290640143917,0.0936177118912948,0.09361988161702973
binary,CPA,0.7,3.5637086994775227,3.563854200396241,3.563960608693046,0.09361295018171471,0.09361774493436478,0.09361991085377422
binary,CPA,0.7025,3.563710278469828,3.563855455780991,3.5639616647874233,0.09361299381572566,0.09361777789846348,0.09361994003284636
binary,CPA,0.705,3.563711852211575,3.563856707898324,3.5639627188044782,0.09361303730459121,0.09361781078403852,0.09361996915450452
binary,CPA,0.7075,3.563713420742968,3.563857956768946,3.5639637707535297,0.09361308064943073,0.09361784359153481,0.09361999821899968
binary,CPA,0.71,3.56371498410383,3.563859202413404,3.5639648206437298,0.09361312385133597,0.0936178763213927,0.09362002722658855
binary,CPA,0.7125,3.563716542333443,3.563860444852009,3.56396586848423,0.09361316691139736,0.09361790897404886,0.09362005617752883
binary,CPA,0.715,3.563718095470672,3.563861684104864,3.563966914284144,0.09361320983068998,0.09361794154993643,0.09362008507206372
binary,CPA,0.7175,3.563719643553941,3.5638629201919128,3.5639679580525017,0.09361325261027505,0.0936179740494858,0.09362011391045161
binary,CPA,0.72,3.5637211866211747,3.563864153132905,3.5639689997983397,0.09361329525120195,0.0936180064731218,0.09362014269293595
binary,CPA,0.7225,3.563722724709945,3.563865382947339,3.563970039530533,0.09361333775451144,0.09361803882126839,0.09362017141976366
binary,CPA,0.725,3.5637242578574013,3.563866609654596,3.563971077258091,0.09361338012122376,0.09361807109434343,0.09362020009118721
binary,CPA,0.7275,3.563725786100198,3.563867833273832,3.563972112989794,0.09361342235235935,0.09361810329276289,0.09362022870744137
binary,CPA,0.73,3.5637273094746162,3.563869053824035,3.563973146734408,0.09361346444891688,0.09361813541693902,0.09362025726877837
binary,CPA,0.7325,3.563728828016547,3.563870271324023,3.563974178500764,0.09361350641189244,0.09361816746728002,0.09362028577543424
binary,CPA,0.735,3.563730341761461,3.563871485792388,3.5639752082974647,0.09361354824225938,0.09361819944419165,0.09362031422765209
binary,CPA,0.7375,3.563731850744437,3.563872697247597,3.563976236133183,0.0936135899409944,0.09361823134807655,0.09362034262567102
binary,CPA,0.74,3.563733355000123,3.5638739057079203,3.5639772620165933,0.09361363150905534,0.09361826317933253,0.09362037096972606
