system,eos,step,pvi,component,mass_rate_kg_s,total_mass_fraction,hydrocarbon_normalized_mass_fraction,reservoir_watercut
lmh,PR,20,0.05,Heavy_squalane,3.324064786267003e-06,0.7404081177143393,0.8617638257091852,0.00040173597552342464
lmh,PR,21,0.0525,H2O,6.322034014951558e-07,0.14081516649625145,0.0,0.0004026430568669324
lmh,PR,21,0.0525,Light_nC4,7.477796147554803e-08,0.016655827966958917,0.019385616828263355,0.0004026430568669324
lmh,PR,21,0.0525,Middle_nC10,4.584532884848183e-07,0.10211456628684139,0.11885052238459454,0.0004026430568669324
lmh,PR,21,0.0525,Heavy_squalane,3.324162720941046e-06,0.7404144392499482,0.8617638607871422,0.0004026430568669324
lmh,PR,22,0.055,H2O,6.32183761513942e-07,0.14080783114769302,0.0,0.00040355581778496626
lmh,PR,22,0.055,Light_nC4,7.47800399524112e-08,0.016655940692973076,0.019385582523664964,0.00040355581778496626
lmh,PR,22,0.055,Middle_nC10,4.584668390330064e-07,0.10211543729433871,0.11885052145056517,0.00040355581778496626
lmh,PR,22,0.055,Heavy_squalane,3.324261135598277e-06,0.7404207908649951,0.86176389602577,0.00040355581778496626
lmh,PR,23,0.0575,H2O,6.321640445323095e-07,0.14080046683867556,0.0,0.0004044735427129824
lmh,PR,23,0.0575,Light_nC4,7.478212690010293e-08,0.01665605386733668,0.01938554808805898,0.0004044735427129824
lmh,PR,23,0.0575,Middle_nC10,4.584804446540843e-07,0.10211631174224318,0.11885052051473786,0.0004044735427129824
lmh,PR,23,0.0575,Heavy_squalane,3.324359950151396e-06,0.7404271675517445,0.8617639313972031,0.0004044735427129824
lmh,PR,24,0.06,H2O,6.321442651767083e-07,0.1407930787504723,0.0,0.00040539558883747305
lmh,PR,24,0.06,Light_nC4,7.478422094175878e-08,0.01665616741046046,0.019385513545721586,0.00040539558883747305
lmh,PR,24,0.06,Middle_nC10,4.584940963356633e-07,0.10211718901534085,0.11885051957779139,0.00040539558883747305
lmh,PR,24,0.06,Heavy_squalane,3.324459099138032e-06,0.7404335648237265,0.861763966876487,0.00040539558883747305
lmh,PR,25,0.0625,H2O,6.321244357449689e-07,0.14078567146876356,0.0,0.00040632138559632973
lmh,PR,25,0.0625,Light_nC4,7.478632078195958e-08,0.016656281251899576,0.019385478918132408,0.00040632138559632973
lmh,PR,25,0.0625,Middle_nC10,4.585077856303908e-07,0.10211806856913493,0.1188505186403237,0.00040632138559632973
lmh,PR,25,0.0625,Heavy_squalane,3.32455852120612e-06,0.740439978710202,0.8617640024415438,0.00040632138559632973
lmh,PR,26,0.065,H2O,6.321045660000685e-07,0.1407782490055078,0.0,0.0004072504322626654
lmh,PR,26,0.065,Light_nC4,7.478842516925404e-08,0.016656395330018694,0.019385444224078386,0.0004072504322626654
lmh,PR,26,0.065,Middle_nC10,4.585215044237504e-07,0.10211894992724953,0.11885051770285567,0.0004072504322626654
lmh,PR,26,0.065,Heavy_squalane,3.324658157429753e-06,0.740446405737224,0.861764038073066,0.0004072504322626654
lmh,PR,27,0.0675,H2O,6.320846672207163e-07,0.1407708148318426,0.0,0.0004081822941568444
