system,eos,pvi,mu_o_min_mPa_s,mu_o_avg_mPa_s,mu_o_max_mPa_s,mu_w_min_mPa_s,mu_w_avg_mPa_s,mu_w_max_mPa_s
lmh,CPA,0.225,1.108991322072289,1.1614994575511,3.7086342873562272,0.03988166191743115,0.08107025017662609,0.09744253545842477
lmh,CPA,0.2275,1.109035998503047,1.162012671023948,3.708888491011449,0.03988570388166553,0.08141033698214306,0.09744898609705727
lmh,CPA,0.23,1.109078982491865,1.162523769278377,3.70913272468482,0.03988959262285652,0.08175617162540166,0.09745518297684726
lmh,CPA,0.2325,1.109121565631606,1.163035399842794,3.709373351335802,0.03989343021567479,0.08207183390732556,0.09746128760682456
lmh,CPA,0.235,1.109163522665201,1.163547123302196,3.7096088015518762,0.03989719133422983,0.08242094487125214,0.09746726021147548
lmh,CPA,0.2375,1.1092045474153829,1.164058197752236,3.70983706738987,0.039900843273350826,0.082739128623699,0.09747304991067003
lmh,CPA,0.24,1.109244351504936,1.164569690163906,3.7100603328644084,0.03990442244492954,0.08306255078803057,0.0974787121521122
lmh,CPA,0.2425,1.1092830734591361,1.1650820969071098,3.710279235507234,0.03990793802666388,0.0833806178217065,0.0974842631438063
lmh,CPA,0.245,1.109320845260948,1.1655948520576132,3.710491909396882,0.039911360883885076,0.08370508842636536,0.09748965561282165
lmh,CPA,0.2475,1.109358057119597,1.166109099701362,3.710700403738043,0.03991472393132959,0.08400623911115354,0.09749494155979117
lmh,CPA,0.25,1.109394520492402,1.166624575544469,3.710903428469293,0.0399180069016876,0.0843258731390905,0.09750008831567088
lmh,CPA,0.2525,1.109430454610279,1.167142064818966,3.711102018586291,0.039921226435491834,0.08464099066514703,0.09750512215590865
lmh,CPA,0.255,1.109176333492883,1.167661607905825,3.711295547292196,0.03992437299406141,0.08493997880915212,0.09751002722796862
lmh,CPA,0.2575,1.109112106423812,1.168183734966476,3.711484298183053,0.0399274509913215,0.0852504305088073,0.09751481075550605
lmh,CPA,0.26,1.1087638190302709,1.168708216518203,3.711667025394401,0.03993044054122701,0.08557587875186819,0.09751944120265285
lmh,CPA,0.2625,1.108485111748791,1.169234402033715,3.711841402142387,0.039933303029538625,0.0859871725256333,0.09752385965588378
lmh,CPA,0.265,1.108532036993546,1.169759706065676,3.712000728817934,0.039935927231822925,0.08666759014569993,0.09752789643205963
lmh,CPA,0.2675,1.1082443613157191,1.170280934715325,3.7121366583910578,0.03993816419889328,0.0879900995000287,0.09753134015908738
lmh,CPA,0.27,1.108272472847259,1.170798709167145,3.712249246918348,0.039939917887593566,0.09008766798188612,0.0975341923755044
lmh,CPA,0.2725,1.108026490827394,1.171319896766208,3.7123528784517763,0.0872820577702776,0.09059822901561894,0.09753681754453199
