system,eos,step,pvi,component,cumulative_produced_kg,recovery_fraction_of_initial,relative_balance_error
lmh,PR,10,0.025,Middle_nC10,0.003959383560309971,0.02520970956839846,7.005063196174888e-12
lmh,PR,10,0.025,Heavy_squalane,0.02870876151877281,0.02521111712311783,-1.714763849223847e-11
lmh,PR,11,0.0275,H2O,0.006011023684829691,0.02623961031032021,-5.728857943587684e-10
lmh,PR,11,0.0275,Light_nC4,0.0007104190550929814,0.02768311795237574,2.566433177086935e-12
lmh,PR,11,0.0275,Middle_nC10,0.004355375109015606,0.0277310192072221,7.133849067031406e-12
lmh,PR,11,0.0275,Heavy_squalane,0.03158002400209166,0.02773256809935834,-1.632672016096347e-11
lmh,PR,12,0.03,H2O,0.006557394631509446,0.028624655100933726,-5.746906284187503e-10
lmh,PR,12,0.03,Light_nC4,0.0007750116520763713,0.030200117557499535,2.569132406815555e-12
lmh,PR,12,0.03,Middle_nC10,0.004751377289558891,0.030252396539800393,7.149614233981083e-12
lmh,PR,12,0.03,Heavy_squalane,0.03445136370281209,0.03025408688545383,-1.622668901988411e-11
lmh,PR,13,0.0325,H2O,0.007103749912900617,0.031009631508674477,-5.757420651342215e-10
lmh,PR,13,0.0325,Light_nC4,0.0008396059035240991,0.032717181632644345,2.548822264358819e-12
lmh,PR,13,0.0325,Middle_nC10,0.005147390257603772,0.03277384255725805,7.025047210618141e-12
lmh,PR,13,0.0325,Heavy_squalane,0.03732278175142908,0.03277567447416886,-1.701913844940944e-11
lmh,PR,14,0.035,H2O,0.007650089318824316,0.03339453861605944,-5.780020906342997e-10
lmh,PR,14,0.035,Light_nC4,0.0009042018321431318,0.03523431106263955,2.568428109084309e-12
lmh,PR,14,0.035,Middle_nC10,0.005543414161036353,0.03529535820119765,7.145006808428889e-12
lmh,PR,14,0.035,Heavy_squalane,0.04019427922194095,0.035297331808654464,-1.625808280879986e-11
lmh,PR,15,0.0375,H2O,0.008196412652482667,0.03577937556401706,-5.41072464610437e-10
lmh,PR,15,0.0375,Light_nC4,0.0009687994589612873,0.03775150666688259,3.172993465194729e-11
lmh,PR,15,0.0375,Middle_nC10,0.005939449136846453,0.037816944343844236,1.979313934974414e-11
lmh,PR,15,0.0375,Heavy_squalane,0.0430658571092163,0.037819059762572445,-1.672179442010748e-10
