system,eos,pvi,mu_o_min_mPa_s,mu_o_avg_mPa_s,mu_o_max_mPa_s,mu_w_min_mPa_s,mu_w_avg_mPa_s,mu_w_max_mPa_s
binary,PR,0.6925,0.9361376094286833,0.936168301144523,0.9361932614579161,0.06617235341292228,0.06617295249167135,0.06617323476699391
binary,PR,0.695,0.9361378525285159,0.9361684740804305,0.9361933883139955,0.06617235726298402,0.06617295487852458,0.06617323677593404
binary,PR,0.6975,0.9361380950355593,0.9361686466107283,0.9361935150635879,0.06617236110365696,0.06617295726183255,0.06617323878318773
binary,PR,0.7,0.9361383369333381,0.9361688187329982,0.9361936417059935,0.06617236493467837,0.06617295964169255,0.06617324078874366
binary,PR,0.7025,0.9361385782042146,0.9361689904451848,0.9361937682406003,0.06617236875577134,0.06617296201819532,0.06617324279259187
binary,PR,0.705,0.9361388188296609,0.9361691617456032,0.9361938946668295,0.06617237256664164,0.06617296439142503,0.0661732447947235
binary,PR,0.7075,0.9361390587911442,0.9361693326329732,0.9361940209841437,0.06617237636699476,0.06617296676145747,0.0661732467951303
binary,PR,0.71,0.9361392980702017,0.936169503106414,0.9361941471920656,0.06617238015653971,0.0661729691283618,0.06617324879380351
binary,PR,0.7125,0.9361395366488637,0.9361696731654684,0.9361942732901662,0.06617238393499043,0.06617297149219892,0.06617325079073791
binary,PR,0.715,0.9361397745100367,0.9361698428100897,0.9361943992780672,0.06617238770207788,0.06617297385302182,0.06617325278592692
binary,PR,0.7175,0.9361400116377059,0.9361700120406283,0.936194525155443,0.06617239145754693,0.0661729762108763,0.06617325477936553
binary,PR,0.72,0.9361402480172364,0.936170180857808,0.9361946509220028,0.0661723952011668,0.06617297856580179,0.06617325677104823
binary,PR,0.7225,0.9361404836354749,0.9361703492627231,0.9361947765775381,0.06617239893272824,0.06617298091783007,0.0661732587609728
binary,PR,0.725,0.9361407184808352,0.9361705172567909,0.9361949021218322,0.06617240265204877,0.06617298326698748,0.06617326074913596
binary,PR,0.7275,0.9361409525434109,0.9361706848417274,0.9361950275547459,0.06617240635897197,0.06617298561329472,0.06617326273553462
binary,PR,0.73,0.9361411858149026,0.9361708520195287,0.9361951528761506,0.06617241005336498,0.06617298795676746,0.06617326472016662
binary,PR,0.7325,0.9361414182886881,0.9361710187924221,0.9361952780859791,0.06617241373512212,0.06617299029741677,0.06617326670303188
binary,PR,0.735,0.936141649959651,0.9361711851628651,0.9361954031841608,0.06617241740416546,0.06617299263525017,0.06617326868412902
binary,PR,0.7375,0.9361418808241913,0.9361713511334834,0.9361955281706567,0.06617242106043557,0.06617299497027147,0.06617327066345725
binary,PR,0.74,0.9361421108800599,0.9361715167070622,0.9361956530454815,0.06617242470389796,0.0661729973024821,0.06617327264101541
binary,PR,0.7425,0.9361423401263091,0.9361716818865088,0.9361957778086305,0.06617242833453633,0.06617299963188052,0.06617327461680589
binary,PR,0.745,0.9361425685631294,0.9361718466748524,0.9361959024601206,0.06617243195235575,0.06617300195846375,0.06617327659082808
binary,PR,0.7475,0.9361427961917912,0.9361720110751861,0.9361960270000065,0.0661724355573743,0.06617300428222667,0.06617327856308156
binary,PR,0.75,0.9361430230144735,0.9361721750906828,0.9361961514283507,0.06617243914962845,0.06617300660316396,0.06617328053356893
binary,PR,0.7525,0.9361432490342019,0.9361723387245523,0.9361962757452001,0.06617244272916381,0.06617300892126819,0.0661732825022908
