system,eos,step,pvi,component,cumulative_produced_kg,recovery_fraction_of_initial,relative_balance_error
binary,PR,10,0.025,Heavy_squalane,0.03788407596498467,0.025328944404064337,9.634857908662905e-14
binary,PR,11,0.0275,H2O,0.004777579581350577,0.024988548452074214,4.358969124540479e-08
binary,PR,11,0.0275,Heavy_squalane,0.04167248507649984,0.02786183985739699,-3.660949091334781e-13
binary,PR,12,0.03,H2O,0.005211904743517203,0.027260233344801352,4.344651838295022e-08
binary,PR,12,0.03,Heavy_squalane,0.0454608944580552,0.030394735491276026,-2.97210871080788e-13
binary,PR,13,0.0325,H2O,0.005646229873222659,0.029531918067744283,4.33659498033645e-08
binary,PR,13,0.0325,Heavy_squalane,0.04924930410899454,0.03292763130526272,-2.687071311969162e-13
binary,PR,14,0.035,H2O,0.00608055497119189,0.031803602624694755,4.332062192302644e-08
binary,PR,14,0.035,Heavy_squalane,0.05303771402958424,0.035460527299535145,-4.326036355291789e-13
binary,PR,15,0.0375,H2O,0.006514880038180767,0.034075287019606264,4.328111793960865e-08
binary,PR,15,0.0375,Heavy_squalane,0.05682612422181728,0.037993423475425815,9.649703606519089e-14
binary,PR,16,0.04,H2O,0.006949205074390106,0.036346971253529134,4.325582081410317e-08
binary,PR,16,0.04,Heavy_squalane,0.06061453468400337,0.040526319831804616,-3.463501309847544e-13
binary,PR,17,0.0425,H2O,0.007383530080449131,0.03861865532975446,4.324661279087039e-08
binary,PR,17,0.0425,Heavy_squalane,0.06440294541911891,0.04305921637066153,-3.813859779253468e-13
binary,PR,18,0.045,H2O,0.00781785505657934,0.040890339249440764,4.323610364176389e-08
binary,PR,18,0.045,Heavy_squalane,0.06819135642733745,0.04559211309211259,-5.489939067216552e-13
binary,PR,19,0.0475,H2O,0.008252180003087785,0.04316202301419403,4.322322094685305e-08
binary,PR,19,0.0475,Heavy_squalane,0.07197976771019443,0.04812500999718439,-5.265769029588186e-13
binary,PR,20,0.05,H2O,0.008686504920131878,0.04543370662483759,4.321130830930997e-08
binary,PR,20,0.05,Heavy_squalane,0.0757681792684271,0.05065790708636984,-5.678479429990079e-13
binary,PR,21,0.0525,H2O,0.00912082980784613,0.04770539008207499,4.32104823588908e-08
binary,PR,21,0.0525,Heavy_squalane,0.07955659110299329,0.053190804360309325,-8.067152215049959e-13
binary,PR,22,0.055,H2O,0.009555154666346528,0.04997707338651288,4.321916852179086e-08
binary,PR,22,0.055,Heavy_squalane,0.08334500321504011,0.055723701819769815,-1.268713338789418e-12
binary,PR,23,0.0575,H2O,0.009989479495855344,0.05224875653931383,4.321364915904624e-08
binary,PR,23,0.0575,Heavy_squalane,0.08713341560693617,0.058256599466334935,-1.187507371516095e-12
binary,PR,24,0.06,H2O,0.01042380429621965,0.054520439539677966,4.320655028200449e-08
binary,PR,24,0.06,Heavy_squalane,0.09092182827802588,0.06078949729956635,-1.847398641223439e-12
binary,PR,25,0.0625,H2O,0.0108581290677614,0.05679212238928923,4.320258611967276e-08
binary,PR,25,0.0625,Heavy_squalane,0.09471024123200596,0.06332239532193566,-1.612242787181497e-12
binary,PR,26,0.065,H2O,0.01129245381031068,0.05906380508725892,4.319479174341723e-08
binary,PR,26,0.065,Heavy_squalane,0.09849865446846218,0.06585529353316592,-1.627385398994804e-12
binary,PR,27,0.0675,H2O,0.01172677852393393,0.06133548763393452,4.318953089610389e-08
binary,PR,27,0.0675,Heavy_squalane,0.1022870679891944,0.06838819193446051,-1.553602280649573e-12
binary,PR,28,0.07,H2O,0.01216110320857205,0.06360717002900693,4.318956908777594e-08
binary,PR,28,0.07,Heavy_squalane,0.1060754817950383,0.07092109052637813,-1.714381188432038e-12
binary,PR,29,0.0725,H2O,0.01259542786416272,0.06587885227215018,4.318609292397468e-08
binary,PR,29,0.0725,Heavy_squalane,0.1098638958869129,0.07345398930953324,-2.377686968646304e-12
binary,PR,30,0.075,H2O,0.01302975249088338,0.06815053436429237,4.318636165345779e-08
binary,PR,30,0.075,Heavy_squalane,0.1136523102679256,0.07598688828600343,-2.353191567183601e-12
binary,PR,31,0.0775,H2O,0.01346407708854694,0.07042221630445493,4.318235963252093e-08
binary,PR,31,0.0775,Heavy_squalane,0.1174407249380858,0.07851978745579498,-2.530746113543553e-12
binary,PR,32,0.08,H2O,0.01389840165708654,0.07269389809228816,4.318545926418338e-08
