input_index,pressure_Pa,oil_x_0_H2O,gas_y_0_H2O,water_x_0_H2O,oil_saturation,gas_saturation,water_saturation,well_pressure_Pa
48,2.77538501763099767e+07,4.00000000000000147e-02,4.00000000000000147e-02,4.00000000000000147e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
49,2.77537658553375714e+07,4.00000000000000008e-02,4.00000000000000008e-02,4.00000000000000008e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
50,2.77536828076541498e+07,4.00000000000000147e-02,4.00000000000000147e-02,4.00000000000000147e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
51,2.77536010255731754e+07,4.00000000000000078e-02,4.00000000000000078e-02,4.00000000000000078e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
52,2.77535205015252903e+07,4.00000000000000078e-02,4.00000000000000078e-02,4.00000000000000078e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
53,2.77534412280576006e+07,4.00000000000000078e-02,4.00000000000000078e-02,4.00000000000000078e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
54,2.77533631978330128e+07,4.00000000000000147e-02,4.00000000000000147e-02,4.00000000000000147e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
55,2.77532864036295228e+07,4.00000000000000078e-02,4.00000000000000078e-02,4.00000000000000078e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
56,2.77532108383395709e+07,4.00000000000000078e-02,4.00000000000000078e-02,4.00000000000000078e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
57,2.77531364949693643e+07,4.00000000000000078e-02,4.00000000000000078e-02,4.00000000000000078e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
58,2.77530633666382395e+07,4.00000000000000008e-02,4.00000000000000008e-02,4.00000000000000008e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77399999999999963e+07
59,2.77529914465780109e+07,4.00000000000000078e-02,4.00000000000000078e-02,4.00000000000000078e-02,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,2.77529198425591625e+07
