input_index,phase_presence_mask,K_gas_over_oil_0_H2O,K_gas_over_oil_1_Heavy_squalane,K_water_over_oil_0_H2O,K_water_over_oil_1_Heavy_squalane,z_0_H2O,z_1_Heavy_squalane,beta_oil,beta_gas,beta_water,Z_oil,Z_gas,Z_water,phase_hysteresis_suppression_mask
11,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000008e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24662466049092568e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
12,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000008e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24662466049092568e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
13,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000008e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24662466049092568e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
14,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000008e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24662466049092568e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
15,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000008e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24662466049092568e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
16,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000008e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24662466049092568e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
17,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000008e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24662466049092568e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
18,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000008e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24662466049092568e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
19,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000008e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24662466049092568e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
20,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000008e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24662466049092568e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
21,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000008e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24662466049092568e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
22,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000008e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24662466049092568e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
23,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000008e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24662466049092568e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
24,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000008e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24662466049092568e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
25,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000008e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24662466049092568e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
26,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000008e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24662466049092568e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
27,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000008e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24662466049092568e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
28,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000008e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24662466049092568e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
29,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000008e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24662466049092568e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
30,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000008e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24662466049092568e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
31,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000008e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24662466049092568e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
32,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000008e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24662466049092568e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
33,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000008e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24662466049092568e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
34,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000008e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24662466049092568e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
35,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000008e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24662466049092568e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
36,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000008e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24662466049092568e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
37,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000008e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24662466049092568e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
38,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000008e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24662466049092568e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
39,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000008e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24662466049092568e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
40,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000008e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24662466049092568e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
41,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000008e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24662466049092568e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
42,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000008e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24662466049092568e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
43,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000008e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24662466049092568e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
44,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000008e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24662466049092568e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
45,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000008e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24662466049092568e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
46,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000008e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24662466049092568e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
47,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000008e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24662466049092568e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
48,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000008e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24662466049092568e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
49,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000008e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24662466049092568e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
50,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000008e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24662466049092568e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
51,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000008e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24662466049092568e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
52,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000008e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24662466049092568e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
53,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000008e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24662466049092568e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
54,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000008e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24662466049092568e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
55,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000008e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24662466049092568e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
56,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000008e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24662466049092568e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
57,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000008e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24662466049092568e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
58,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000008e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24662466049092568e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
59,1.00000000000000000e+00,1.00000000000100009e+00,9.99999999999958478e-01,1.00000000000000000e+00,1.00000000000000000e+00,4.00000000000000008e-02,9.59999999999999964e-01,1.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,4.24662466049092568e+00,4.24662466049077114e+00,1.00000000000000000e+00,0.00000000000000000e+00
