case,step,pvi,cell,x_m,water_saturation,oil_saturation,gas_saturation
binary,0,0.0,55,1.1099999999999999,0.017313502231844267,0.9826864977681558,0.0
binary,0,0.0,56,1.13,0.017313502231844267,0.9826864977681558,0.0
binary,0,0.0,57,1.15,0.017313502231844267,0.9826864977681558,0.0
binary,0,0.0,58,1.1700000000000002,0.017313502231844267,0.9826864977681558,0.0
binary,0,0.0,59,1.19,0.017313502231844267,0.9826864977681558,0.0
binary,10,0.25,0,0.01,0.7291466242503699,0.2708533757496301,0.0
binary,10,0.25,1,0.029999999999999995,0.6480329173938627,0.3519670826061373,0.0
binary,10,0.25,2,0.05,0.595522407604612,0.404477592395388,0.0
binary,10,0.25,3,0.07,0.556724613194366,0.44327538680563405,0.0
binary,10,0.25,4,0.09,0.5260271061920095,0.47397289380799057,0.0
binary,10,0.25,5,0.11,0.5006665427007633,0.4993334572992368,0.0
binary,10,0.25,6,0.13,0.47907456236037177,0.5209254376396282,0.0
binary,10,0.25,7,0.15,0.46027570350166436,0.5397242964983356,0.0
binary,10,0.25,8,0.16999999999999998,0.4436225587087359,0.5563774412912641,0.0
binary,10,0.25,9,0.19,0.42866389917572134,0.5713361008242788,0.0
binary,10,0.25,10,0.21,0.41507289583075463,0.5849271041692454,0.0
binary,10,0.25,11,0.22999999999999998,0.40260531570133057,0.5973946842986695,0.0
binary,10,0.25,12,0.25,0.3910738380957875,0.6089261619042126,0.0
binary,10,0.25,13,0.26999999999999996,0.38033157257711436,0.6196684274228856,0.0
binary,10,0.25,14,0.29,0.370261090986714,0.6297389090132861,0.0
binary,10,0.25,15,0.30999999999999994,0.3607668993343939,0.6392331006656061,0.0
binary,10,0.25,16,0.33,0.3517701295952265,0.6482298704047735,0.0
binary,10,0.25,17,0.35,0.3432047065097048,0.6567952934902953,0.0
binary,10,0.25,18,0.37,0.33501451985108804,0.664985480148912,0.0
binary,10,0.25,19,0.38999999999999996,0.32715129756323824,0.6728487024367616,0.0
binary,10,0.25,20,0.41,0.3195729764562559,0.6804270235437441,0.0
binary,10,0.25,21,0.43,0.3122424310257672,0.6877575689742328,0.0
binary,10,0.25,22,0.45,0.3051264629453765,0.6948735370546235,0.0
binary,10,0.25,23,0.47,0.29819498256109056,0.7018050174389094,0.0
binary,10,0.25,24,0.49,0.29142033328712164,0.7085796667128783,0.0
binary,10,0.25,25,0.51,0.28477672203748106,0.7152232779625189,0.0
binary,10,0.25,26,0.5299999999999999,0.2782397264292941,0.7217602735707058,0.0
binary,10,0.25,27,0.55,0.2717858561123282,0.7282141438876719,0.0
binary,10,0.25,28,0.57,0.2653921524568527,0.7346078475431472,0.0
binary,10,0.25,29,0.59,0.25903581501559864,0.7409641849844014,0.0
binary,10,0.25,30,0.61,0.25269384214288015,0.7473061578571198,0.0
binary,10,0.25,31,0.63,0.24634267200436885,0.7536573279956311,0.0
binary,10,0.25,32,0.65,0.23995781669317112,0.7600421833068288,0.0
binary,10,0.25,33,0.6699999999999999,0.23351349178554726,0.7664865082144529,0.0
binary,10,0.25,34,0.69,0.2269822405969899,0.7730177594030102,0.0
binary,10,0.25,35,0.7100000000000001,0.22033453886859347,0.7796654611314066,0.0
binary,10,0.25,36,0.73,0.2135383760407192,0.7864616239592808,0.0
binary,10,0.25,37,0.75,0.20655885295379617,0.7934411470462038,0.0
binary,10,0.25,38,0.7699999999999999,0.19935785168709624,0.8006421483129038,0.0
binary,10,0.25,39,0.7899999999999999,0.19189378125022913,0.808106218749771,0.0
binary,10,0.25,40,0.81,0.18412141033557888,0.8158785896644212,0.0
binary,10,0.25,41,0.83,0.1759919988181046,0.8240080011818954,0.0
binary,10,0.25,42,0.85,0.16745410764313065,0.8325458923568694,0.0
binary,10,0.25,43,0.8699999999999999,0.1584552690750754,0.8415447309249247,0.0
binary,10,0.25,44,0.89,0.14894456449978305,0.851055435500217,0.0
binary,10,0.25,45,0.91,0.13887701826304671,0.8611229817369533,0.0
binary,10,0.25,46,0.9299999999999999,0.12822170494870602,0.871778295051294,0.0
binary,10,0.25,47,0.95,0.11697428631983564,0.8830257136801644,0.0
binary,10,0.25,48,0.97,0.105172627046823,0.894827372953177,0.0
binary,10,0.25,49,0.99,0.09291668252995364,0.9070833174700463,0.0
binary,10,0.25,50,1.01,0.08039719028334592,0.9196028097166541,0.0
binary,10,0.25,51,1.03,0.06792659348945898,0.932073406510541,0.0
binary,10,0.25,52,1.05,0.055946486600000456,0.9440535133999995,0.0
binary,10,0.25,53,1.07,0.04499499103755485,0.9550050089624451,0.0
binary,10,0.25,54,1.0899999999999999,0.03564227806651103,0.964357721933489,0.0
binary,10,0.25,55,1.1099999999999999,0.02837007679125364,0.9716299232087464,0.0
binary,10,0.25,56,1.13,0.023362921302831244,0.9766370786971688,0.0
binary,10,0.25,57,1.15,0.020352230988219297,0.9796477690117806,0.0
binary,10,0.25,58,1.1700000000000002,0.0187497060779444,0.9812502939220556,0.0
binary,10,0.25,59,1.19,0.017967866702544247,0.9820321332974559,0.0
binary,20,0.5,0,0.01,0.8133440683577109,0.18665593164228905,0.0
binary,20,0.5,1,0.029999999999999995,0.7456390042544687,0.2543609957455314,0.0
binary,20,0.5,2,0.05,0.6988175497266909,0.3011824502733092,0.0
